category,price,time_buying
food,420,2025-10-03
transport,110,2025-10-05
coffee,160,2025-10-07
books,980,2025-10-10
rent,15000,2025-10-01
internet,900,2025-10-02
gym,2500,2025-10-06
clothes,3400,2025-10-12
entertainment,700,2025-10-18
medicine,820,2025-10-22
food,450,2025-11-04
transport,120,2025-11-06
coffee,170,2025-11-08
books,1020,2025-11-11
rent,15000,2025-11-01
internet,900,2025-11-02
gym,2500,2025-11-05
clothes,3600,2025-11-10
entertainment,750,2025-11-16
medicine,780,2025-11-21
food,470,2025-12-03
transport,130,2025-12-05
coffee,180,2025-12-07
books,1100,2025-12-10
rent,15000,2025-12-01
internet,900,2025-12-02
gym,2500,2025-12-06
clothes,3200,2025-12-12
entertainment,720,2025-12-18
medicine,800,2025-12-22
food,460,2026-01-04
transport,140,2026-01-06
coffee,190,2026-01-08
books,1050,2026-01-11
rent,15000,2026-01-01
internet,900,2026-01-02
gym,2500,2026-01-05
clothes,3100,2026-01-10
entertainment,680,2026-01-16
medicine,760,2026-01-21
entertainment,65,2026-01-30
traveling,1100,2026-02-02
meal,1800,2026-02-02
food,1600,2026-02-02
